conversation_id,rep_id,client_id,date,month,month_name,product,objection_type,objection_difficulty,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,context_weighted_score,response_quality,quality_label,client_sentiment,sentiment_label,outcome,is_success,is_success_broad,objection_text_len,response_len_chars,response_len_words,response_to_objection_ratio,info_density,has_empathy,has_data_args,has_followup_q,has_solution,is_vague,argumentation_richness,skill_level,nb_skill_tags,tag_argumentation_solide,tag_argumentation_correcte,tag_reponse_scientifique,tag_empathie_client,tag_informations_basiques,tag_reponse_vague,tag_manque_preparation,duration_minutes,duration_category,objection_text,rep_response,conversation_transcript
CONV00100,REP022,CLI0191,2025-08-20,8,August,OLIGOVIT Trio,Marque inconnue,Difficile,7.5,6.3,5.8,6.5,6.38,Bon,1,Négatif,-1,Intérêt Modéré,0,1,85,72,11,0.84,1.64,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,6.6,Standard (6-10 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]"
CONV00364,REP017,CLI0201,2025-08-20,8,August,PHYTOFANE Lotion anti chute,Posologie complexe,Difficile,6.1,6.8,5.8,6.2,6.18,Bon,1,Positif,1,Demande info,0,1,75,70,14,0.92,3.08,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,4.45,Courte (3-6 min),La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est assez simple en fait : 2 fois par jour. La notice explique bien.,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est assez simple en fait : 2 fois par jour. La notice explique bien.
Client: Je vois... [suite de la conversation]"
CONV00136,REP006,CLI0047,2025-08-21,8,August,Vitonic Tonus,Posologie complexe,Difficile,7.8,7.4,5.1,6.8,6.46,Bon,1,Neutre,0,À rappeler,0,0,75,70,14,0.92,1.61,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,8.57,Standard (6-10 min),La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est assez simple en fait : 2 fois par jour. La notice explique bien.,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est assez simple en fait : 2 fois par jour. La notice explique bien.
Client: Je vois... [suite de la conversation]"
CONV00349,REP017,CLI0134,2025-08-22,8,August,OLIGOVIT Trio,Stock suffisant,Difficile,6.9,7.5,6.0,6.8,6.68,Bon,1,Positif,1,Demande info,0,1,74,74,12,0.99,1.49,0,0,0,0,1,0,Confirmé,2,0,1,0,0,1,0,0,7.97,Standard (6-10 min),J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"D'accord, je peux repasser le mois prochain. Gardez notre produit en tête.","Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.
Délégué: D'accord, je peux repasser le mois prochain. Gardez notre produit en tête.
Client: Je vois... [suite de la conversation]"
CONV00193,REP025,CLI0064,2025-08-24,8,August,PHYTOFANE Lotion anti chute,Marque inconnue,Difficile,7.6,7.1,6.1,6.9,6.78,Bon,1,Neutre,0,À rappeler,0,0,85,72,11,0.84,1.29,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,8.43,Standard (6-10 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]"
CONV00236,REP013,CLI0119,2025-08-25,8,August,OLIGOVIT Trio,Marque inconnue,Difficile,6.3,8.0,6.0,6.8,6.68,Bon,1,Négatif,-1,À rappeler,0,0,85,72,11,0.84,1.54,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,7.02,Standard (6-10 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]"
CONV00070,REP021,CLI0151,2025-08-29,8,August,Omevie Omega 3 – 1000,Stock suffisant,Difficile,4.3,4.6,3.9,4.3,4.21,Faible,0,Neutre,0,Objections non résolues,0,0,74,31,5,0.41,0.56,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,8.85,Standard (6-10 min),J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Pas de problème, je repasserai.","Délégué: Bonjour, je viens vous présenter Omevie Omega 3 – 1000. C'est un excellent produit pour [indication].
Client: J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.
Délégué: Pas de problème, je repasserai.
Client: Je vois... [suite de la conversation]"
CONV00109,REP023,CLI0030,2025-08-31,8,August,LV Fersang junior,Posologie complexe,Difficile,4.7,5.6,3.3,4.5,4.34,Faible,0,Positif,1,Pas intéressé,0,0,75,25,5,0.33,0.65,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,7.55,Standard (6-10 min),La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est écrit sur la boîte.,"Délégué: Bonjour, je viens vous présenter LV Fersang junior. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est écrit sur la boîte.
Client: Je vois... [suite de la conversation]"
CONV00257,REP023,CLI0034,2025-09-01,9,September,PHYTOFANE Lotion anti chute,Posologie complexe,Difficile,9.9,8.5,9.3,9.2,9.21,Excellent,2,Neutre,0,Intérêt Fort,1,1,75,284,45,3.74,9.64,0,0,1,0,0,1,Expert,3,1,0,1,1,0,0,0,4.57,Courte (3-6 min),La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?","Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?
Client: Je vois... [suite de la conversation]"
CONV00372,REP010,CLI0230,2025-09-01,9,September,LV Vitamine A,Marque inconnue,Difficile,6.2,6.2,6.9,6.4,6.52,Bon,1,Neutre,0,Demande info,0,1,85,72,11,0.84,2.95,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,3.63,Courte (3-6 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,"Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]"
