conversation_id,rep_id,client_id,date,product,product_category,specialite_cible,objection_type,objection_text,rep_response,response_quality,niveau_alia,visit_format,visit_step,medecin_type,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,acrv_score,conformite_flag,client_sentiment,conversation_duration_sec,outcome,skill_tags
CONV_1000,REP_200,CLIENT_180,2026-01-18,LV Fersang B60,Fer / énergie,Gynéco,conviction,Pas convaincu par ce produit,"Je comprends tout à fait votre préoccupation. Vous voulez un repère sur la composition, la tolérance, ou l'usage pratique ? 1 repère clinique ciblé et proposition de test sur 2 à 3 patients. Est-ce que ce repère suffit pour envisager un test sur quelques patients ?",Excellent,Expert,Approfondie,4,Analysant,9.01,7.06,8.8,8.33,4,1,Positif,392,Prochain RDV fixé,ACRV|closing|conformite|questionnement
CONV_1001,REP_201,CLIENT_155,2025-11-07,LV Tétra B B30,Vitamines B – énergie,MG,autre,Je n'aime pas les compléments vitamines B,"Votre point est tout à fait valable. Sur quels cas vous acceptez une aide pratique en support ? Positionnement support avec rappel des limites et suivi à J+14. Dans ce cadre précis, est-ce que ça vous semble acceptable ? (selon la fiche produit)",Excellent,Confirmé,Standard,5,Promouvant,7.94,8.51,9.65,8.88,4,1,Positif,236,Test accepté,ACRV|conformite|questionnement
CONV_1002,REP_202,CLIENT_072,2025-12-26,PULMAX antitussif 150ml,Toux – sirop,ORL,temps,Pas le temps pour une présentation,"Votre point est tout à fait valable. Vous avez 20 secondes ou je repasse demain ? 1 indication de bon usage, je laisse une fiche et je reviens. D'accord pour que je repasse avec plus de détails ? (dans le respect du cadre)",Excellent,Confirmé,Approfondie,4,Contrôlant,5.73,5.88,6.45,6.1,4,1,Positif,254,Engagement obtenu,ACRV|conformite
CONV_1003,REP_203,CLIENT_143,2025-10-27,Oligovit Vitamine C B30,Vitamine C – soutien,MG,autre,Pas d'intérêt clinique démontré,"C'est une question légitime et importante. Sur quels cas vous voyez un bénéfice perçu chez vos patients ? Positionnement support avec prudence, pas de promesse clinique. Dans ce cadre support, est-ce que ça vous semble acceptable ?",Excellent,Expert,Approfondie,5,Promouvant,10.0,8.95,9.19,9.32,3,1,Positif,412,Prochain RDV fixé,ACRV|conformite|questionnement
CONV_1004,REP_204,CLIENT_110,2026-01-28,Vitonic Allaitement B45,Allaitement – support nutritionnel,MG,securite,Je suis très prudent avec les produits en allaitement,"Je comprends tout à fait votre préoccupation. Votre vigilance porte sur quoi exactement : dosage, tolérance ou interactions ? Réponse prudente avec renvoi à la fiche produit et proposition d'un plan B. Avec ces précautions, est-ce que vous seriez à l'aise pour l'envisager ? (selon la notice)",Excellent,Expert,Approfondie,4,Facilitant,10.0,8.93,8.82,9.15,3,1,Positif,359,Prochain RDV fixé,ACRV|conformite
CONV_1005,REP_205,CLIENT_175,2025-09-30,Pédiakids Crème change 40g,Dermite du siège – topique,MG,temps,Les parents changent de marque tout le temps,"Je comprends tout à fait votre préoccupation. Pourquoi changent-ils selon vous, le prix ou l'efficacité perçue ? Mettre en avant la routine, le conseil simple et le suivi observance. Avec ce message de routine, pensez-vous pouvoir fidéliser ces familles ? (selon la notice)",Excellent,Expert,Standard,5,Contrôlant,7.68,7.7,8.03,7.84,4,1,Positif,65,Prochain RDV fixé,ACRV|conformite|questionnement
CONV_1006,REP_206,CLIENT_196,2025-10-12,Omévie Oméga3 1000 B30,Oméga-3 – adulte,MG,autre,Je ne priorise pas les oméga-3 en consultation,"C'est une question légitime et importante. Sur quel profil de patient vous l'accepteriez comme support ? Segmentation précise avec cure test sur 3 patients ciblés. Sur ce profil précis, est-ce que vous seriez prêt à l'essayer ?",Excellent,Expert,Approfondie,6,Promouvant,7.13,6.49,7.15,6.95,4,1,Positif,251,Engagement obtenu,ACRV|closing|segmentation|conformite|questionnement
CONV_1007,REP_207,CLIENT_122,2026-01-19,Pédiakids Apitou N1 N2 150ml,Toux pédiatrique – sèche/grasse,Pédiatre,autre,Je ne veux pas multiplier les références pédiatriques,"Je comprends votre réticence. Vous préférez une règle simple pour choisir ? 1 règle de tri claire entre les deux références et plan B. Avec cette règle simple, est-ce que ça facilite votre choix ? (dans le respect du cadre)",Excellent,Confirmé,Approfondie,6,Promouvant,8.41,9.42,9.81,9.34,3,1,Positif,397,Engagement obtenu,ACRV|conformite
CONV_1008,REP_208,CLIENT_142,2025-10-29,Phytothéra CoQ10 B60,Coenzyme Q10 – support énergétique,MG,autre,Trop de demandes énergie dans ma patientèle,"Votre point est tout à fait valable. Quel profil vous priorisez parmi ces demandes ? Segmentation et cadrage des attentes réalistes. Sur ce profil ciblé, est-ce que vous pensez que ça a de la valeur ? (je vous confirme par la source)",Excellent,Confirmé,Approfondie,4,Promouvant,9.14,8.84,8.74,8.87,4,1,Positif,361,Engagement obtenu,ACRV|segmentation|conformite|questionnement
CONV_1009,REP_209,CLIENT_122,2025-12-14,Vitonic Grossesse B30,Grossesse – support nutritionnel,Gynéco,securite,Je suis très prudent avec tout produit en grossesse,"Je vous remercie de soulever ce point. Vous craignez quoi précisément : dosage, tolérance ou interactions ? Réponse prudente avec renvoi à la fiche et plan B selon le trimestre. Avec ces précisions, est-ce que vous seriez à l'aise pour l'envisager ?",Excellent,Expert,Approfondie,6,Facilitant,5.35,6.04,6.69,6.16,4,1,Neutre,461,Engagement obtenu,ACRV|conformite
CONV_1010,REP_210,CLIENT_036,2025-12-18,Vitonic Tonus Plus B30,Tonus – cure énergie,MG,comportement_patient,Mes patients veulent des résultats immédiats,"Je vous remercie de soulever ce point. Qu'attendent-ils exactement comme résultat et dans quel délai ? Recadrage des attentes avec cure test et conseils hygiène de vie. Avec ce cadrage réaliste, pensez-vous qu'ils seraient plus satisfaits ?",Excellent,Expert,Approfondie,4,Facilitant,10.0,9.29,7.57,8.69,4,1,Positif,289,Prochain RDV fixé,ACRV|closing|conformite|questionnement
CONV_1011,REP_211,CLIENT_222,2025-12-12,Vitonic Conception B30,Conception – préconception,Gynéco,temps,Mes patientes oublient vite la routine,"Je comprends votre réticence. C'est un oubli pur ou un manque de motivation selon vous ? Rituel de prise, rappel digital et point retour à J+15. Avec ce système de rappel, pensez-vous que l'observance s'améliorerait ? (je vous confirme par la source)",Excellent,Confirmé,Standard,5,Promouvant,6.51,7.01,7.4,7.06,3,1,Neutre,169,Test accepté,ACRV|conformite
CONV_1012,REP_212,CLIENT_015,2025-09-13,Pédiakids Apigrip 150ml,Pédiatrie – confort saisonnier,MG,comportement_patient,Les parents veulent un cocktail de produits,"Je comprends votre réticence. Ils demandent quoi exactement comme combinaison ? Recadrage avec règles simples et support d'information parent. Avec ce message simple, pensez-vous pouvoir recadrer leurs attentes ?",Excellent,Confirmé,Standard,4,Promouvant,7.86,10.0,8.85,8.95,2,1,Positif,220,Prochain RDV fixé,conformite
CONV_1013,REP_213,CLIENT_150,2026-01-23,Pédiakids Oméga3 150ml,Oméga-3 – enfant,MG,observance,Les enfants refusent à cause du goût,"Je vous remercie de soulever ce point. À quel moment de la journée c'est le plus difficile pour eux ? Astuces observance adaptées à l'enfant et test sur 2 semaines. Avec ces astuces pratiques, pensez-vous que l'adhésion s'améliorerait ? (selon la notice)",Excellent,Expert,Approfondie,6,Promouvant,8.99,8.62,8.62,8.71,4,1,Positif,396,Test accepté,ACRV|closing|conformite|questionnement
CONV_1014,REP_214,CLIENT_130,2025-11-07,LV Phytocalm B30,Calme / stress – support,MG,comportement_patient,Mes patients veulent un vrai somnifère,"Je vous remercie de soulever ce point. Que demandent-ils exactement comme effet et dans quel délai ? Recadrage des attentes, limites claires et orientation médicale si besoin. Avec ce recadrage, est-ce que vous pouvez orienter ces patients ?",Excellent,Expert,Standard,4,Facilitant,7.59,9.52,10.0,9.25,4,1,Positif,169,Prochain RDV fixé,ACRV|conformite|questionnement
CONV_1015,REP_200,CLIENT_225,2025-10-05,Oligovit Zinc B15,Zinc – cure courte,Dermato,conviction,Pas convaincu par les données sur le zinc,"Je comprends tout à fait votre préoccupation. Quel repère scientifique vous manque pour vous convaincre ? 1 repère ciblé sur l'indication, positionnement clair et suivi. Avec ce repère, est-ce que vous envisageriez un test ?",Excellent,Expert,Standard,6,Analysant,8.89,8.89,8.76,8.83,4,1,Positif,113,Prochain RDV fixé,ACRV|closing|conformite|questionnement
CONV_1016,REP_201,CLIENT_001,2025-11-25,LV Fersang B60,Fer / énergie,MG,habitudes,J'ai mes habitudes avec un autre fer,"Je vous remercie de soulever ce point. Sur quels patients vous êtes le moins satisfait en tolérance ou adhésion ? Justement, positionnement en plan B sur ces profils avec suivi à J+7 et J+14. Est-ce que ça répond à votre préoccupation sur ces cas particuliers ?",Excellent,Expert,Standard,6,Contrôlant,7.73,10.0,8.76,8.87,4,1,Neutre,82,Test accepté,ACRV|segmentation|conformite|questionnement
CONV_1017,REP_202,CLIENT_011,2025-11-18,LV Tétra B B30,Vitamines B – énergie,MG,comportement_patient,Mes patients ne prennent pas régulièrement,"Je vous remercie de soulever ce point. Quel est le frein principal : l'oubli ou la motivation ? Astuce observance avec rituel de prise et rappel, cure courte test. Est-ce que cette approche par cure courte pourrait améliorer l'adhésion ? (je vérifie et je reviens)",Excellent,Expert,Standard,6,Facilitant,8.54,9.79,7.4,8.4,4,1,Positif,125,Test accepté,ACRV|closing|conformite|questionnement
CONV_1018,REP_203,CLIENT_189,2025-11-25,PULMAX antitussif 150ml,Toux – sirop,Pédiatre,autre,Je préfère traiter la cause plutôt que le symptôme,"Je comprends votre réticence. Dans quel cas vous cherchez surtout du confort symptomatique ? Positionnement confort avec rappel de la surveillance étiologique. En complément du traitement étiologique, est-ce que ça vous semble pertinent ?",Excellent,Confirmé,Standard,4,Promouvant,7.72,6.81,6.52,6.91,4,1,Neutre,151,Engagement obtenu,ACRV|conformite|questionnement
CONV_1019,REP_204,CLIENT_050,2025-12-12,Oligovit Vitamine C B30,Vitamine C – soutien,MG,autre,"Tout le monde en demande, c'est galvaudé","Je comprends votre réticence. Quel profil vous voudriez prioriser dans votre patientèle ? Segmentation patient ciblée avec cure courte et suivi J+15. Sur ce profil précis, est-ce que vous seriez prêt à l'essayer ?",Excellent,Confirmé,Approfondie,4,Promouvant,9.35,8.21,7.91,8.36,4,1,Positif,397,Engagement obtenu,ACRV|segmentation|conformite|questionnement
CONV_1020,REP_205,CLIENT_202,2025-11-20,Vitonic Allaitement B45,Allaitement – support nutritionnel,MG,autre,Trop de produits post-partum sur le marché,"C'est une question légitime et importante. Quel besoin prioritaire identifiez-vous chez vos patientes ? Cadrage sur 1 besoin prioritaire avec micro-test sur 2 patientes. Est-ce que sur ce besoin précis, ça mérite un test ? (je vérifie et je reviens)",Excellent,Expert,Approfondie,6,Promouvant,9.57,9.76,7.28,8.6,4,1,Neutre,433,Test accepté,ACRV|closing|conformite|questionnement
CONV_1021,REP_206,CLIENT_085,2026-02-07,Pédiakids Crème change 40g,Dermite du siège – topique,MG,autre,Ça ne marche pas toujours dans mon expérience,"Votre point est tout à fait valable. Sur quel contexte exactement : mycose, irritation, ou allergie ? Clarification diagnostique, orientation si besoin, positionnement en prévention. En prévention sur ce profil, est-ce que vous pensez que ça a sa place ?",Excellent,Confirmé,Approfondie,5,Facilitant,7.02,9.27,9.22,8.68,4,1,Neutre,400,Engagement obtenu,ACRV|segmentation|conformite|questionnement
CONV_1022,REP_207,CLIENT_054,2025-12-20,Omévie Oméga3 1000 B30,Oméga-3 – adulte,MG,tolerance,Problème de reflux et d'odeur signalé,"Votre point est tout à fait valable. C'est fréquent chez quel type de patients dans votre pratique ? Conseil prise au repas et adaptation du schéma pour le confort. Avec ce conseil pratique, pensez-vous que ça améliorerait la tolérance ? (dans le respect du cadre)",Excellent,Confirmé,Standard,6,Promouvant,8.49,10.0,9.59,9.44,4,1,Positif,206,Test accepté,ACRV|conformite|questionnement
