conversation_id,rep_id,client_id,date,month,month_name,product,objection_type,objection_difficulty,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,context_weighted_score,response_quality,quality_label,client_sentiment,sentiment_label,outcome,is_success,is_success_broad,objection_text_len,response_len_chars,response_len_words,response_to_objection_ratio,info_density,has_empathy,has_data_args,has_followup_q,has_solution,is_vague,argumentation_richness,skill_level,nb_skill_tags,tag_argumentation_solide,tag_argumentation_correcte,tag_reponse_scientifique,tag_empathie_client,tag_informations_basiques,tag_reponse_vague,tag_manque_preparation,duration_minutes,duration_category,objection_text,rep_response,conversation_transcript
CONV00285,REP013,CLI0096,2025-08-23,8,August,PHYTOFANE Lotion anti chute,Concurrence,Standard,3.3,4.8,4.8,4.3,4.42,Faible,0,Neutre,0,Pas intéressé,0,0,88,34,6,0.38,0.8,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,7.37,Standard (6-10 min),Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Notre marque est connue et fiable.,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Notre marque est connue et fiable.
Client: Je vois... [suite de la conversation]"
CONV00070,REP021,CLI0151,2025-08-29,8,August,Omevie Omega 3 – 1000,Stock suffisant,Difficile,4.3,4.6,3.9,4.3,4.21,Faible,0,Neutre,0,Objections non résolues,0,0,74,31,5,0.41,0.56,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,8.85,Standard (6-10 min),J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Pas de problème, je repasserai.","Délégué: Bonjour, je viens vous présenter Omevie Omega 3 – 1000. C'est un excellent produit pour [indication].
Client: J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.
Délégué: Pas de problème, je repasserai.
Client: Je vois... [suite de la conversation]"
CONV00325,REP009,CLI0067,2025-08-31,8,August,OLIGOVIT Trio,Demande Faible,Standard,5.0,3.6,3.6,4.1,3.95,Faible,0,Neutre,0,Pas intéressé,0,0,83,49,8,0.58,0.98,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,8.07,Standard (6-10 min),"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.","C'est un bon produit, les clients vont l'acheter.","Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: C'est un bon produit, les clients vont l'acheter.
Client: Je vois... [suite de la conversation]"
CONV00109,REP023,CLI0030,2025-08-31,8,August,LV Fersang junior,Posologie complexe,Difficile,4.7,5.6,3.3,4.5,4.34,Faible,0,Positif,1,Pas intéressé,0,0,75,25,5,0.33,0.65,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,7.55,Standard (6-10 min),La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est écrit sur la boîte.,"Délégué: Bonjour, je viens vous présenter LV Fersang junior. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est écrit sur la boîte.
Client: Je vois... [suite de la conversation]"
CONV00128,REP010,CLI0020,2025-09-02,9,September,OLIGOVIT Trio,Prix élevé,Standard,3.3,4.8,3.2,3.8,3.7,Faible,0,Neutre,0,Refus,0,0,84,50,10,0.59,1.06,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,9.37,Standard (6-10 min),Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Oui, c'est un peu cher, mais c'est un bon produit.","Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Oui, c'est un peu cher, mais c'est un bon produit.
Client: Je vois... [suite de la conversation]"
CONV00087,REP004,CLI0195,2025-09-05,9,September,"Echinacée, Zinc, Vit.C",Efficacité douteuse,Standard,4.3,5.1,4.7,4.7,4.72,Faible,0,Positif,1,Pas intéressé,0,0,92,47,7,0.51,0.86,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,8.0,Standard (6-10 min),J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?,Beaucoup de clients sont satisfaits du produit.,"Délégué: Bonjour, je viens vous présenter Echinacée, Zinc, Vit.C. C'est un excellent produit pour [indication].
Client: J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?
Délégué: Beaucoup de clients sont satisfaits du produit.
Client: Je vois... [suite de la conversation]"
CONV00268,REP013,CLI0151,2025-09-05,9,September,OLIGOVIT Trio,Concurrence,Standard,5.0,3.2,4.1,4.1,4.06,Faible,0,Neutre,0,Refus,0,0,88,34,6,0.38,0.7,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,8.5,Standard (6-10 min),Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Notre marque est connue et fiable.,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Notre marque est connue et fiable.
Client: Je vois... [suite de la conversation]"
CONV00256,REP002,CLI0026,2025-09-07,9,September,LV Vitamine A,Effets Secondaires,Standard,3.0,5.8,2.5,3.8,3.62,Faible,0,Neutre,0,Objections non résolues,0,0,78,23,4,0.29,0.46,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,8.68,Standard (6-10 min),J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?,"Non, c'est sans danger.","Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?
Délégué: Non, c'est sans danger.
Client: Je vois... [suite de la conversation]"
CONV00098,REP016,CLI0007,2025-09-09,9,September,PHYTOFANE Lotion anti chute,Efficacité douteuse,Standard,4.0,4.8,3.9,4.2,4.2,Faible,0,Positif,1,Refus,0,0,92,47,7,0.51,0.73,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,9.53,Standard (6-10 min),J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?,Beaucoup de clients sont satisfaits du produit.,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?
Délégué: Beaucoup de clients sont satisfaits du produit.
Client: Je vois... [suite de la conversation]"
CONV00229,REP011,CLI0216,2025-09-09,9,September,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,4.0,4.0,4.4,4.1,4.18,Faible,0,Neutre,0,Refus,0,0,84,50,10,0.59,1.88,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,5.23,Courte (3-6 min),Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Oui, c'est un peu cher, mais c'est un bon produit.","Délégué: Bonjour, je viens vous présenter Echinacée, Zinc, Vit.C. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Oui, c'est un peu cher, mais c'est un bon produit.
Client: Je vois... [suite de la conversation]"
CONV00347,REP025,CLI0092,2025-09-11,9,September,"Echinacée, Zinc, Vit.C",Concurrence,Standard,5.6,5.2,4.7,5.2,5.08,Faible,0,Négatif,-1,Objections non résolues,0,0,88,34,6,0.38,2.58,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,2.23,Très courte (<3 min),Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Notre marque est connue et fiable.,"Délégué: Bonjour, je viens vous présenter Echinacée, Zinc, Vit.C. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Notre marque est connue et fiable.
Client: Je vois... [suite de la conversation]"
CONV00395,REP007,CLI0115,2025-09-12,9,September,LV Fersang junior,Demande Faible,Standard,3.5,5.5,3.8,4.3,4.23,Faible,0,Neutre,0,Refus,0,0,83,49,8,0.58,1.31,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,6.02,Standard (6-10 min),"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.","C'est un bon produit, les clients vont l'acheter.","Délégué: Bonjour, je viens vous présenter LV Fersang junior. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: C'est un bon produit, les clients vont l'acheter.
Client: Je vois... [suite de la conversation]"
CONV00164,REP022,CLI0160,2025-09-13,9,September,Vitonic Tonus,Concurrence,Standard,4.7,5.5,2.1,4.1,3.77,Faible,0,Négatif,-1,Pas intéressé,0,0,88,34,6,0.38,1.21,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,4.87,Courte (3-6 min),Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Notre marque est connue et fiable.,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Notre marque est connue et fiable.
Client: Je vois... [suite de la conversation]"
