seq_id,state,label,confidence,stress,slouch_score,spine_angle,arms_crossed_rate,face_touch_rate,niveau_alia,etape_vm,vm_description,coaching_hint
0,upright,0,55.95,44.05,0.3764,1.77,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
1,upright,0,55.83,44.17,0.3467,1.55,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
2,upright,0,56.59,43.41,0.3374,1.66,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
3,upright,0,55.62,44.38,0.3736,2.08,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
4,upright,0,55.56,44.44,0.4032,2.52,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
5,upright,0,56.09,43.91,0.3343,1.21,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
6,upright,0,56.08,43.92,0.3392,2.03,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
7,upright,0,55.75,44.25,0.3451,1.64,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
8,upright,0,55.4,44.6,0.3714,1.82,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
9,upright,0,55.83,44.17,0.4015,2.04,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
10,upright,0,55.57,44.43,0.3716,2.77,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
11,upright,0,56.26,43.74,0.3227,1.72,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
12,upright,0,56.32,43.68,0.3187,1.09,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
13,upright,0,55.37,44.63,0.3811,2.61,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
14,upright,0,56.23,43.77,0.3456,1.6,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
15,upright,0,55.18,44.82,0.4051,1.66,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
16,upright,0,55.98,44.02,0.3756,1.74,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
17,upright,0,55.67,44.33,0.3572,1.08,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
18,upright,0,56.11,43.89,0.3307,1.5,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
19,upright,0,56.59,43.41,0.315,1.01,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
20,upright,0,55.61,44.39,0.3652,1.83,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
21,upright,0,56.28,43.72,0.3609,1.85,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
22,upright,0,54.75,45.25,0.4329,1.97,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
23,upright,0,56.03,43.97,0.3848,2.86,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
24,upright,0,55.74,44.26,0.3597,2.59,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
25,upright,0,56.18,43.82,0.3621,2.23,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
26,upright,0,56.09,43.91,0.3243,0.79,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
27,upright,0,55.91,44.09,0.3599,2.86,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
28,upright,0,55.4,44.6,0.385,2.41,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
29,upright,0,55.94,44.06,0.3859,2.5,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
30,upright,0,56.56,43.44,0.3344,1.77,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
31,upright,0,55.49,44.51,0.3771,2.0,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
32,upright,0,56.12,43.88,0.3296,1.2,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
33,upright,0,56.35,43.65,0.3507,1.86,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
34,upright,0,55.78,44.22,0.3349,1.94,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
35,upright,0,56.29,43.71,0.3466,2.4,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
36,upright,0,56.44,43.56,0.3731,2.93,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
37,upright,0,56.04,43.96,0.3769,2.17,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
38,upright,0,55.95,44.05,0.3463,2.4,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
39,upright,0,55.69,44.31,0.377,1.65,1.0,0.0,Expert,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
40,upright,0,56.23,43.77,0.334,1.45,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
41,upright,0,55.39,44.61,0.3937,2.44,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
42,upright,0,56.21,43.79,0.321,1.21,1.0,0.0,Expert,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
43,upright,0,56.52,43.48,0.3012,0.88,1.0,0.0,Confirmé,6,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
44,upright,0,55.5,44.5,0.3791,2.52,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
45,upright,0,56.14,43.86,0.3301,1.48,1.0,0.0,Confirmé,5,Posture de confiance — argumentation et closing,Excellente posture — maintenez cette ouverture pendant toute la visite.
