name,forme,classe,categories_list,primary_category,indications,indication_count,is_complete,avatar_priority_score
LV Vitamine A,Créme,Complément alimentaire,"['Acné', 'Peau']",Acné,- Engelure - Réduit l’apparition des rides - Traite l’acné chez les adolescents et les adultes - Régule la pigmentation - Prévient les dommages cellulaires - Soutient la santé de la peau - Stimule la production de collagène,7,1,8.5
LV Fersang junior,Sirop,Complément alimentaire,"['Anémie', 'Carence en Fer']",Anémie,- Traitement de l’anémie chez l’enfant à partir de 2 ans - Restitution des réserves en fer - Fortifie le sang sans risque de constipation,3,1,7.0
Hydra eau micellaire,Forme non spécifiée,Autre,['Peau'],Peau,- Nettoyante - Démaquillante - Purifiante - Aide à éliminer les impuretés - Se débarrasse de l’excès de sébum en douceur - Laisse la peau nette et fraîche,6,0,6.25
Alcool de menthe,Liquide,Produit de soin,"['Troubles de la digestion', 'Ballonnement et gaz']",Troubles de la digestion,Garder hors de la portée des enfants,1,1,4.0
PHYTOFANE Lotion anti chute,Lotion,Lotion Antichute,"['Anti chute', 'Cheveux']",Anti chute,• Ralentit la chute des cheveux • Stimule la croissance,1,1,4.0
Huile de Menthe,Liquide,Complément alimentaire,"['Ballonnement et gaz', 'Digestion']",Ballonnement et gaz,- Difficulté de digestion - Diminuer les flatulences,2,1,5.5
"LV Sélénium A, C, E Anti-âge",Gélule,Complément alimentaire,"['Anti-âge', 'Peau']",Anti-âge,• Prévenir le vieillissement cutané • Améliorer l’’éclat et la souplesse de la peau • Réduire les signes visibles de l’’âge par des effets anti-inflammatoires et antioxydants,1,1,4.0
Omevie Omega 3 - 1000,Capsule,Complément alimentaire,"['Développement cérébral', 'Concentration', 'Immunité']",Développement cérébral,- Contribue au bon développement cérébral - Maintenir une bonne vision - Prévient et réduit l’inflammation secondaire à une infection virale - Concentration,4,1,8.75
Pédiakids lait dermo-nettoyant,Lait,Autre,['Peau'],Peau,- Nettoyant - Adoucissant - Nourrissant,3,0,4.75
TC 2000 Nutractiva,Gélule,Complément alimentaire,['Anti-tâches'],Anti-tâches,- Contribue au renouvellement cellulaire - Antiradicalaire - Antioxydant,3,1,6.75
OLIGOVIT Trio,Gélule,Complément alimentaire,['Immunité'],Immunité,- Contribue au fonctionnement normal du système immunitaire - Contribue à un métabolisme énergétique normal et à réduire la fatigue - Réduit le risque de l’infection et de la pneumonie - Réduit l’inflammation - Diminue le risque de la SDRA,5,1,8.25
"Echinacée, Zinc, Vit.C",Gélule,Complément alimentaire,['Immunité'],Immunité,- Aide à protéger l’organisme des infections - Stimule la protection d’anticorps - Aide à réduire la durée du rhume,3,1,6.75
LV Psolcalm,Pommade,Complément alimentaire,['psoriasis'],psoriasis,- Diminue les démangeaisons liées au psoriasis - Soulage et apaise les irritations dûes au psoriasis,2,1,5.25
LV CYSPROTECT,Sachet,Complément alimentaire,"['Cystites', 'Infection urinaire']",Cystites,• Protège les voies urinaires sensibles • Cystites récidivantes • Complément d’une antibiothérapie fondée dans les infections urinaires basses,1,1,4.0
Hydra,Crème,Crème,['Peau'],Peau,- Hydratation en profondeur de la peau - Nutrition de la peau - Adoucissement de la peau - Assouplissement de la peau - Régénération et cicatrisation cutanée,5,1,8.25
MULTIBON IMMUNITÉ,Gummies,Complément alimentaire,['Immunité'],Immunité,- Contribue au renforcement du système immunitaire - Améliore les défenses naturelles contre les maladies virales et infectieuses,2,1,5.25
Pédiakids Gel Lavant Doux,Gel,Autre,['Peau'],Peau,- Nettoyant - Hydratant - Nourrissant,3,0,4.75
LV Arthroforce huile,Huile,Complément alimentaire,"['Arthrite', 'Arthrose', 'Douleurs articulaires']",Arthrite,"Douleurs articulaires, arthrose, Arthrite, Tendinite",1,1,4.25
Oligovit vitamine C,Gélule,Complément alimentaire,['Immunité'],Immunité,Fatigue Asthénie Courbatures Baisse d’immunité,1,1,3.75
Minciligne Homme,Solution,Complément alimentaire,"['Brûle graisses', 'Coupe faim']",Brûle graisses,Coupe faim Obésité Adjuvant de régime,1,1,4.0
Plantalgic,Gélule,Complément alimentaire,"['Anxiété', 'Migraine']",Anxiété,Femme enceinte et allaitante,1,1,4.0
PHYTOFANE Fortifiant Phanères,Gélule,Complément alimentaire,"['Cheveux', 'Fortifiant', 'Ongles']",Cheveux,• Fortifie les cheveux & les ongles • Favorise la vitalité & la brillance,1,1,4.25
SWEET health fer,Gummies,Complément alimentaire,"['Carence en Fer', 'Anémie']",Carence en Fer,- Prévenir les carences en fer - Faible risque de constipation - Traitement de l’anémie chez l’adulte et la femme enceinte - Meilleur absorption du fer grâce à la vitamine C,4,1,8.5
Dermacné ( gel nettoyant ),Forme non spécifiée,Autre,['Peau'],Peau,Assainir et purifier la peau en profondeur Elimine les imperfections cutanées des peaux grasses à tendance acnéique,1,0,1.75
LV PSOCALM,Pommade,Réparation De La Peau,"['Apaise', 'Peau']",Apaise,• Diminue les démangeaisons liées au psoriasis • Soulage et apaise les irritations dues au psoriasis,1,1,4.0
Hydra eau micellaire,Forme non spécifiée,Autre,['Peau'],Peau,- Nettoyante - Démaquillante - Purifiante - Aide à éliminer les impuretés - Se débarrasse de l’excès de sébum en douceur - Laisse la peau nette et fraîche,6,0,6.25
LV Spasvit Sirop,Sirop,Complément alimentaire,['Spasmes intestinaux'],Spasmes intestinaux,- Soulage les spasmes gastro-intestinaux et les coliques hépatiques - Équilibre la flore intestinale,2,1,5.25
HYDRAfine Après épilation,Crème,Crème Après Épilation,"['Cicatrices', 'Hydrate', 'Peau']",Cicatrices,• Protège les peaux sensibilisées • Pro-cicatrisantes et hydratantes,1,1,4.25
Omevie Emotion - 900,Capsule,Complément alimentaire,['état d’humeur'],état d’humeur,Garder une humeur équilibrée Aide à maintenir un équilibre émotionnel,1,1,3.75
Uniderme peau mixte,Savon,Savon,['Peau'],Peau,"Savon unifiant tonique et nourrissant, spécifique pour la peau mixte",1,1,3.75
