name,forme,classe,categories_list,primary_category,category_count,indications,infos_produit,indication_count,is_complete,avatar_priority_score,url,image_url
Omevie Cardio - 900,Capsule,Complément alimentaire,"['Cholestérol', 'Immunité', 'Maladies cardiovasculaires']",Cholestérol,3,- Renforce l’immunité - Contribue au fonctionnement normal du système cardio-vasculaire - Réduit le taux des lipides et des LDL- cholestérol,Boite de 30 capsules,4,1,8.75,https://vital.com.tn/products/omevie-cardio-900/,https://vital.com.tn/wp-content/uploads/2019/06/cardio.png
Omevie Omega 3 - 1000,Capsule,Complément alimentaire,"['Développement cérébral', 'Concentration', 'Immunité']",Développement cérébral,3,- Contribue au bon développement cérébral - Maintenir une bonne vision - Prévient et réduit l’inflammation secondaire à une infection virale - Concentration,Boite de 30 capsules,4,1,8.75,https://vital.com.tn/products/omevie-omega-3-1000/,https://vital.com.tn/wp-content/uploads/2019/06/omega-3-1000.png
Plantex vitamine C,Sachet,Complément alimentaire,"['Immunité', 'Energie', 'Fatigue']",Immunité,3,- Contribue à renforcer les défenses immunitaires - Améliore le métabolisme énergétique - Aide à résister au stresse et à la fatigue - Protège des virus ambiants,Boite de 12 sachets,4,1,8.75,https://vital.com.tn/products/plantex-vitamine-c/,https://vital.com.tn/wp-content/uploads/2022/07/Plantex-Vitamine-C.png
SWEET bronzage,Gummies,Complément alimentaire,"['Peau', 'Anti-âge', 'Protection solaire']",Peau,3,- Prolonge le teint bronzé des zones exposées pour une durée plus longue - Renforce les défenses contre l’agressions des rayons UV - Diminution des lésions induites par la photosensibilité - Puissants pigments naturels permettant de limiter les effets néfastes du soleil sur la peau - Effet bonne mine et peau saine - Diminue le risque de vieillissement secondaire à l’exposition - Anti-oxydant & anti-âge,Boite de 30 gummies,7,1,8.75,https://vital.com.tn/products/sweet-bronzage-2/,https://vital.com.tn/wp-content/uploads/2022/07/SWEET-bronzage.png
Omevie Omega 3 - 500,Capsule,Complément alimentaire,"['Concentration', 'Développement cérébral', 'Immunité']",Concentration,3,- Contribue au bon développement cérébral - Maintenir une bonne vision - Prévient et réduit l’inflammation secondaire à une infection virale - Concentration,Boite de 30 capsules,4,1,8.75,https://vital.com.tn/products/omevie-omega-3-500/,https://vital.com.tn/wp-content/uploads/2020/09/Omega-3-500.png
Mincicare 4 actions,Solution,Complément alimentaire,"['Détox', 'Drainage']",Détox,2,- Draineur - Brûleur de graisses - Détoxifiant - Coupe Faim,Non spécifié,4,1,8.5,https://vital.com.tn/products/mincicare-4-actions/,https://vital.com.tn/wp-content/uploads/2020/09/Mincicare.png
SWEET health fer,Gummies,Complément alimentaire,"['Carence en Fer', 'Anémie']",Carence en Fer,2,- Prévenir les carences en fer - Faible risque de constipation - Traitement de l’anémie chez l’adulte et la femme enceinte - Meilleur absorption du fer grâce à la vitamine C,Boite de 30 gummies,4,1,8.5,https://vital.com.tn/products/sweet-health-fer/,https://vital.com.tn/wp-content/uploads/2022/07/SWEEThealth-fer.png
LV Vitamine A,Créme,Complément alimentaire,"['Acné', 'Peau']",Acné,2,- Engelure - Réduit l’apparition des rides - Traite l’acné chez les adolescents et les adultes - Régule la pigmentation - Prévient les dommages cellulaires - Soutient la santé de la peau - Stimule la production de collagène,Non spécifié,7,1,8.5,https://vital.com.tn/products/vitamine-a-2/,https://vital.com.tn/wp-content/uploads/2020/09/Vitamine-A.png
LV Fersang Sirop,Sirop,Complément alimentaire,"['Anémie', 'Carence en Fer']",Anémie,2,"- Prévention de la carence martiale - Traitement de l’anémie chez l’adulte, l’enfant et la femme enceinte - Restitution des réserves en fer - Fortifie le sang - Faible risque de constipation",Flacon de 150 ml,5,1,8.5,https://vital.com.tn/products/lv-fersang-sirop/,https://vital.com.tn/wp-content/uploads/2017/08/Fersang-sirop.png
Pulmax Anti-Tussif,Sirop,Complément alimentaire,"['Toux', 'Immunité']",Toux,2,- Apaise la toux - Dégage les voies respiratoires - SANS SUCRE - Adapté aux diabétiques,Sirop sans sucre 150 ml,4,1,8.5,https://vital.com.tn/products/pulmax-anti-tussif/,https://vital.com.tn/wp-content/uploads/2022/08/Pulmax.png
