conversation_id,product,objection_type,objection_difficulty,objection_text,rep_response,response_quality,overall_score,context_weighted_score,has_empathy,has_data_args,has_solution,argumentation_richness,skill_level,outcome,is_success,client_sentiment
CONV00095,OLIGOVIT Trio,Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : OLIGOVIT Trio utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,Excellent,9.9,9.88,0,1,0,1,Expert,Intérêt Fort,1,Négatif
CONV00295,OLIGOVIT Trio,Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : OLIGOVIT Trio utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,Excellent,9.5,9.52,0,1,0,1,Expert,Rendez-vous futur,1,Négatif
CONV00241,OLIGOVIT Trio,Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : OLIGOVIT Trio utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,Excellent,9.4,9.34,0,1,0,1,Expert,Rendez-vous futur,1,Négatif
CONV00059,LV CYSPROTECT,Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : LV CYSPROTECT utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,Excellent,9.4,9.34,0,1,0,1,Expert,Rendez-vous futur,1,Neutre
CONV00156,LV CYSPROTECT,Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : LV CYSPROTECT utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,Excellent,9.1,9.3,0,1,0,1,Expert,Intérêt Fort,1,Négatif
CONV00346,LV Fersang junior,Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : LV Fersang junior utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,Excellent,9.2,9.28,0,1,0,1,Expert,Rendez-vous futur,1,Négatif
CONV00253,Omevie Omega 3 – 1000,Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : Omevie Omega 3 – 1000 utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,Excellent,9.3,9.21,0,1,0,1,Expert,Rendez-vous futur,1,Négatif
CONV00394,LV Vitamine A,Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : LV Vitamine A utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,Excellent,9.2,9.21,0,1,0,1,Expert,Rendez-vous futur,1,Neutre
CONV00057,"Echinacée, Zinc, Vit.C",Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,"Je connais bien ce produit concurrent. La différence principale est dans la formulation : Echinacée, Zinc, Vit.C utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.",Excellent,9.2,9.18,0,1,0,1,Expert,Intérêt Fort,1,Négatif
CONV00243,OLIGOVIT Trio,Concurrence,Standard,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Je connais bien ce produit concurrent. La différence principale est dans la formulation : OLIGOVIT Trio utilise une forme biodisponible brevetée qui garantit une absorption supérieure de 40%. Nos études comparatives montrent des résultats visibles plus rapidement. Je peux vous proposer un échantillon gratuit pour que vous puissiez constater la différence.,Excellent,9.1,9.01,0,1,0,1,Expert,Commande,1,Négatif
