conversation_id,rep_id,client_id,date,product,objection_type,objection_text,rep_response,response_quality,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,client_sentiment,conversation_duration_sec,outcome,conversation_transcript,skill_tags,year,month,month_name,week,day_of_week,duration_minutes,duration_category,objection_difficulty,objection_text_len,response_len_chars,response_len_words,transcript_len_chars,has_empathy,has_data_args,has_followup_q,has_solution,is_vague,argumentation_richness,response_to_objection_ratio,info_density,nb_skill_tags,tag_argumentation_solide,tag_argumentation_correcte,tag_reponse_scientifique,tag_empathie_client,tag_informations_basiques,tag_reponse_vague,tag_manque_preparation,skill_level,quality_label,is_success,is_success_broad,sentiment_label,context_weighted_score,above_success_threshold
CONV00100,REP022,CLI0191,2025-08-20,OLIGOVIT Trio,Marque inconnue,Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,Bon,7.5,6.3,5.8,6.5,Négatif,396,Intérêt Modéré,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,34,Wednesday,6.6,Standard (6-10 min),Difficile,85,72,11,324,0,0,0,0,0,0,0.84,1.64,2,0,1,0,0,1,0,0,Confirmé,1,0,1,-1,6.38,0
CONV00364,REP017,CLI0201,2025-08-20,PHYTOFANE Lotion anti chute,Posologie complexe,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est assez simple en fait : 2 fois par jour. La notice explique bien.,Bon,6.1,6.8,5.8,6.2,Positif,267,Demande info,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est assez simple en fait : 2 fois par jour. La notice explique bien.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,34,Wednesday,4.45,Courte (3-6 min),Difficile,75,70,14,326,0,0,0,0,0,0,0.92,3.08,2,0,1,0,0,1,0,0,Confirmé,1,0,1,1,6.18,0
CONV00075,REP011,CLI0106,2025-08-21,Vitonic Tonus,Efficacité douteuse,J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?,Excellente question ! Vitonic Tonus a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?,Excellent,9.9,9.6,9.1,9.5,Neutre,373,Intérêt Fort,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?
Délégué: Excellente question ! Vitonic Tonus a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?
Client: Je vois... [suite de la conversation]","Argumentation solide, Réponse scientifique, Empathie client",2025,8,August,34,Thursday,6.22,Standard (6-10 min),Standard,92,315,45,574,0,1,1,0,0,2,3.39,7.12,3,1,0,1,1,0,0,0,Expert,2,1,1,0,9.45,1
CONV00136,REP006,CLI0047,2025-08-21,Vitonic Tonus,Posologie complexe,La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est assez simple en fait : 2 fois par jour. La notice explique bien.,Bon,7.8,7.4,5.1,6.8,Neutre,514,À rappeler,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est assez simple en fait : 2 fois par jour. La notice explique bien.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,34,Thursday,8.57,Standard (6-10 min),Difficile,75,70,14,312,0,0,0,0,0,0,0.92,1.61,2,0,1,0,0,1,0,0,Confirmé,1,0,0,0,6.46,0
CONV00069,REP014,CLI0116,2025-08-22,LV Vitamine A,Concurrence,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Notre produit a une meilleure formulation et plus d'actifs. La qualité est vraiment supérieure.,Bon,6.1,6.6,5.6,6.1,Neutre,424,À rappeler,"Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Notre produit a une meilleure formulation et plus d'actifs. La qualité est vraiment supérieure.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,34,Friday,7.07,Standard (6-10 min),Standard,88,95,14,350,0,0,0,0,0,0,1.07,1.95,2,0,1,0,0,1,0,0,Confirmé,1,0,0,0,6.02,0
CONV00349,REP017,CLI0134,2025-08-22,OLIGOVIT Trio,Stock suffisant,J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"D'accord, je peux repasser le mois prochain. Gardez notre produit en tête.",Bon,6.9,7.5,6.0,6.8,Positif,478,Demande info,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.
Délégué: D'accord, je peux repasser le mois prochain. Gardez notre produit en tête.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,34,Friday,7.97,Standard (6-10 min),Difficile,74,74,12,315,0,0,0,0,1,0,0.99,1.49,2,0,1,0,0,1,0,0,Confirmé,1,0,1,1,6.68,0
CONV00092,REP019,CLI0222,2025-08-23,LV Vitamine A,Demande Faible,"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.",Nous pouvons vous fournir des supports marketing pour augmenter la demande.,Bon,6.1,7.2,6.0,6.4,Neutre,518,À rappeler,"Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: Nous pouvons vous fournir des supports marketing pour augmenter la demande.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,34,Saturday,8.63,Standard (6-10 min),Standard,83,75,11,325,0,0,0,0,0,0,0.89,1.26,2,0,1,0,0,1,0,0,Confirmé,1,0,0,0,6.38,0
CONV00285,REP013,CLI0096,2025-08-23,PHYTOFANE Lotion anti chute,Concurrence,Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Notre marque est connue et fiable.,Faible,3.3,4.8,4.8,4.3,Neutre,442,Pas intéressé,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Notre marque est connue et fiable.
Client: Je vois... [suite de la conversation]","Réponse vague, Manque de préparation",2025,8,August,34,Saturday,7.37,Standard (6-10 min),Standard,88,34,6,303,0,0,0,0,0,0,0.38,0.8,2,0,0,0,0,0,1,1,À améliorer,0,0,0,0,4.42,0
CONV00193,REP025,CLI0064,2025-08-24,PHYTOFANE Lotion anti chute,Marque inconnue,Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,Bon,7.6,7.1,6.1,6.9,Neutre,506,À rappeler,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,34,Sunday,8.43,Standard (6-10 min),Difficile,85,72,11,338,0,0,0,0,0,0,0.84,1.29,2,0,1,0,0,1,0,0,Confirmé,1,0,0,0,6.78,0
CONV00322,REP017,CLI0006,2025-08-24,"Echinacée, Zinc, Vit.C",Demande Faible,"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.",Nous pouvons vous fournir des supports marketing pour augmenter la demande.,Bon,6.3,6.3,6.6,6.4,Négatif,124,Intérêt Modéré,"Délégué: Bonjour, je viens vous présenter Echinacée, Zinc, Vit.C. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: Nous pouvons vous fournir des supports marketing pour augmenter la demande.
Client: Je vois... [suite de la conversation]","Argumentation correcte, Informations basiques",2025,8,August,34,Sunday,2.07,Très courte (<3 min),Standard,83,75,11,334,0,0,0,0,0,0,0.89,5.07,2,0,1,0,0,1,0,0,Confirmé,1,0,1,-1,6.44,0
