client_id,client_type,client_name,owner_name,specialty_type,specialty_macro,crm_segment,governorate,delegation,languages_list,primary_language,nb_languages,speaks_french,speaks_arabic,speaks_english,preferred_products_list,nb_preferred_products,is_multi_product,engagement_level,engagement_score_num,patients_per_month,patient_volume_category,total_visits,days_since_last_visit,recency_category,is_pharmacy,is_doctor,is_specialist
CLI0154,Cabinet Médical,Pr. Mohamed Ghariani,Pr. Mohamed Ghariani,Pédiatrie,Pédiatrie,Médecin Champion,Ben Arous,Mégrine,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,"['LV Fersang junior', 'Huile de Menthe']",2,1,Élevé,3,430,Cabinet actif,13,39,Normal (31-60j),0,1,1
CLI0177,Cabinet Médical,Dr. Amira Jemni,Dr. Amira Jemni,Gynécologie,Gynécologie,Médecin Champion,Ben Arous,Fouchana,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,"['LV Vitamine A', 'Huile de Menthe']",2,1,Élevé,3,374,Cabinet actif,18,21,Récent (≤30j),0,1,1
CLI0226,Cabinet Médical,Pr. Leila Elloumi,Pr. Leila Elloumi,Pédiatrie,Pédiatrie,Médecin Champion,Manouba,Borj El Amri,"['Français', 'Arabe', 'Anglais', 'Italien']",Français,4,1,1,1,"['Vitonic Tonus', 'OLIGOVIT Trio']",2,1,Élevé,3,159,Cabinet modéré,13,45,Normal (31-60j),0,1,1
CLI0175,Cabinet Médical,Pr. Youssef Elloumi,Pr. Youssef Elloumi,Dermatologie,Dermatologie,Médecin Champion,Monastir,Zéramdine,"['Français', 'Arabe', 'Anglais']",Français,3,1,1,1,"['Huile de Menthe', 'LV Psolcalm', 'TC 2000 Nutractiva']",3,1,Élevé,3,437,Cabinet actif,17,30,Récent (≤30j),0,1,1
CLI0172,Cabinet Médical,Dr. Ines Karoui,Dr. Ines Karoui,Gynécologie,Gynécologie,Médecin Champion,Sfax,Thyna,['Arabe'],Arabe,1,0,1,0,['LV Vitamine A'],1,0,Élevé,3,281,Cabinet modéré,12,39,Normal (31-60j),0,1,1
CLI0184,Cabinet Médical,Pr. Karim Elloumi,Pr. Karim Elloumi,Pédiatrie,Pédiatrie,Médecin Champion,Sfax,Ghraiba,"['Français', 'Arabe']",Français,2,1,1,0,"['LV Sélénium A', 'C', 'E Anti-âge']",3,1,Élevé,3,307,Cabinet modéré,13,29,Récent (≤30j),0,1,1
CLI0201,Cabinet Médical,Dr. Fatma Dhouib,Dr. Fatma Dhouib,Ophtalmologie,Ophtalmologie,Médecin Champion,Sfax,Sfax Ville,['Français'],Français,1,1,0,0,"['OLIGOVIT Trio', 'Hydra eau micellaire']",2,1,Élevé,3,334,Cabinet modéré,17,36,Normal (31-60j),0,1,1
CLI0178,Cabinet Médical,Pr. Mohamed Amari,Pr. Mohamed Amari,Dermatologie,Dermatologie,Médecin Champion,Sousse,Hergla,"['Français', 'Arabe']",Français,2,1,1,0,"['OLIGOVIT Trio', 'LV Sélénium A', 'C', 'E Anti-âge', 'TC 2000 Nutractiva']",5,1,Élevé,3,523,Cabinet actif,13,34,Normal (31-60j),0,1,1
CLI0200,Cabinet Médical,Pr. Ines Elloumi,Pr. Ines Elloumi,Gastro-entérologie,Gastro-entérologie,Médecin Champion,Sousse,Kalâa Seghira,"['Français', 'Arabe']",Français,2,1,1,0,['PédiaKids Gelée royale'],1,0,Élevé,3,785,Cabinet très actif,17,34,Normal (31-60j),0,1,1
CLI0180,Cabinet Médical,Pr. Ines Amari,Pr. Ines Amari,Dermatologie,Dermatologie,Médecin Champion,Tunis,Sidi Hassine,"['Français', 'Arabe']",Français,2,1,1,0,['Huile de Menthe'],1,0,Élevé,3,729,Cabinet très actif,17,42,Normal (31-60j),0,1,1
CLI0203,Cabinet Médical,Dr. Mohamed Amari,Dr. Mohamed Amari,Endocrinologie,Endocrinologie,Médecin Champion,Tunis,Ettahrir,"['Français', 'Arabe']",Français,2,1,1,0,"['TC 2000 Nutractiva', 'PHYTOFANE Lotion anti chute', 'Hydra eau micellaire']",3,1,Élevé,3,282,Cabinet modéré,14,42,Normal (31-60j),0,1,1
CLI0127,Pharmacie,Pharmacie Populaire,Mohamed Hamdi,Parapharmacie,Pharmacie,Pharmacie Partenaire,Ariana,La Soukra,['Arabe'],Arabe,1,0,1,0,"['OLIGOVIT Trio', 'TC 2000 Nutractiva', 'Omevie Omega 3 – 1000']",3,1,Élevé,3,2328,Haute fréquentation,22,26,Récent (≤30j),1,0,0
