conversation_id,source_type,source_url,specialite,produit,scenario,objection_type,reponse_type,conversation_text,date_enregistrement,duree_secondes,qualite_audio,transcripteur
CONV_0001,formation_interne,,cardiologie,OncoCare,Objection efficacité,fidelite_concurrence,argument_clinique,"Délégué: Docteur, notre nouvelle molécule DermaShield montre une efficacité supérieure dans le psoriasis modéré à sévère.
Médecin: J'utilise déjà le produit de la concurrence depuis des années, pourquoi changer?
Délégué: L'étude DERMA-3 démontre une réduction de 52% de la surface corporelle atteinte versus 38% pour le produit de référence à 16 semaines. Le DLQI s'améliore significativement.
Médecin: Les données sont solides, mais mes patients sont habitués à leur traitement actuel.
Délégué: Nous proposons un suivi personnalisé et des échantillons pour transition progressive. L'innocuité est comparable avec moins d'effets gastro-intestinaux.
Médecin: Envoyez-moi les données, je les étudierai.",2024-03-12,284,moyenne,mixte
CONV_0002,youtube_podcast,,rhumatologie,GastroProtect,Objection efficacité,fidelite_concurrence,argument_clinique,"Délégué: Docteur, notre nouvelle molécule DermaShield montre une efficacité supérieure dans le psoriasis modéré à sévère.
Médecin: J'utilise déjà le produit de la concurrence depuis des années, pourquoi changer?
Délégué: L'étude DERMA-3 démontre une réduction de 52% de la surface corporelle atteinte versus 38% pour le produit de référence à 16 semaines. Le DLQI s'améliore significativement.
Médecin: Les données sont solides, mais mes patients sont habitués à leur traitement actuel.
Délégué: Nous proposons un suivi personnalisé et des échantillons pour transition progressive. L'innocuité est comparable avec moins d'effets gastro-intestinaux.
Médecin: Envoyez-moi les données, je les étudierai.",2024-04-21,418,moyenne,mixte
CONV_0003,simulation,https://example.com/podcast/3,rhumatologie,DermaShield,Objection prix,prix,argument_economique,"Délégué: Bonjour Docteur, je voulais vous présenter notre nouveau traitement ProCardio-X pour l'insuffisance cardiaque.
Médecin: Oui, j'ai entendu parler de ce produit, mais le prix me semble prohibitif pour mes patients.
Délégué: Je comprends votre préoccupation. En fait, ProCardio-X réduit les hospitalisations de 35%, ce qui représente une économie nette de 2800€ par patient et par an. L'assurance maladie le rembourse à 100%.
Médecin: C'est intéressant, mais mes patients paient quand même une participation forfaitaire.
Délégé: Exact, mais notre programme d'accompagnement patient prend en charge cette participation. De plus, l'AMM inclut une indication précoce qui peut retarder l'évolution.
Médecin: D'accord, je vais l'essayer sur quelques patients.",2024-10-06,609,excellente,humain_verifie
CONV_0004,youtube_podcast,https://example.com/podcast/4,neurologie,NeuroBalance,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-03-22,894,bonne,humain_verifie
CONV_0005,formation_interne,,dermatologie,DermaShield,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-07-13,279,bonne,humain_verifie
CONV_0006,simulation,,neurologie,ProCardio-X,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-03-04,567,excellente,mixte
CONV_0007,simulation,https://example.com/podcast/7,neurologie,OncoCare,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-07-04,771,excellente,mixte
CONV_0008,youtube_podcast,https://example.com/podcast/8,cardiologie,OncoCare,Objection efficacité,fidelite_concurrence,argument_clinique,"Délégué: Docteur, notre nouvelle molécule DermaShield montre une efficacité supérieure dans le psoriasis modéré à sévère.
Médecin: J'utilise déjà le produit de la concurrence depuis des années, pourquoi changer?
Délégué: L'étude DERMA-3 démontre une réduction de 52% de la surface corporelle atteinte versus 38% pour le produit de référence à 16 semaines. Le DLQI s'améliore significativement.
Médecin: Les données sont solides, mais mes patients sont habitués à leur traitement actuel.
Délégué: Nous proposons un suivi personnalisé et des échantillons pour transition progressive. L'innocuité est comparable avec moins d'effets gastro-intestinaux.
Médecin: Envoyez-moi les données, je les étudierai.",2024-02-10,418,excellente,humain_verifie
CONV_0009,formation_interne,,gastro-entérologie,OncoCare,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-06-30,394,moyenne,humain_verifie
CONV_0010,youtube_podcast,https://example.com/podcast/10,rhumatologie,OncoCare,Objection efficacité,fidelite_concurrence,argument_clinique,"Délégué: Docteur, notre nouvelle molécule DermaShield montre une efficacité supérieure dans le psoriasis modéré à sévère.
Médecin: J'utilise déjà le produit de la concurrence depuis des années, pourquoi changer?
Délégué: L'étude DERMA-3 démontre une réduction de 52% de la surface corporelle atteinte versus 38% pour le produit de référence à 16 semaines. Le DLQI s'améliore significativement.
Médecin: Les données sont solides, mais mes patients sont habitués à leur traitement actuel.
Délégué: Nous proposons un suivi personnalisé et des échantillons pour transition progressive. L'innocuité est comparable avec moins d'effets gastro-intestinaux.
Médecin: Envoyez-moi les données, je les étudierai.",2024-05-05,347,bonne,humain_verifie
CONV_0011,simulation,,oncologie,OncoCare,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-06-15,237,excellente,IA_automatique
CONV_0012,youtube_podcast,,gastro-entérologie,PneumoRelief,Objection remboursement,acces_remboursement,argument_acces,"Délégué: OncoCare vient d'obtenir son AMM dans le cancer du poumon non à petites cellules.
Médecin: L'AMM c'est bien, mais sans remboursement, mes patients ne pourront pas y accéder.
Délégué: La commission de transparence a émis un avis favorable. Le remboursement est effectif depuis le 1er du mois. Le tarif forfaitaire est de 2847€ par cycle.
Médecin: Et l'hospitalisation à domicile?
Délégué: Prise en charge possible dans le cadre de l'HAD pour les patients éligibles. Notre service patient gère les démarches administratives.
Médecin: Parfait, je vais pouvoir proposer cette option à mes patients.",2024-10-17,502,excellente,mixte
CONV_0013,formation_interne,,gastro-entérologie,OncoCare,Objection habitudes,changement_habitude,argument_observance,"Délégué: Notre nouvelle formulation de ProCardio-X permet une prise unique quotidienne.
Médecin: Mes patients sont bien équilibrés avec leur bi-thérapie actuelle, pourquoi changer?
Délégué: La simplification du traitement améliore l'observance de 23%. Moins de prises = moins d'oublis. L'étude ADHERENCE-CARDIO le démontre.
Médecin: L'efficacité est-elle maintenue?
Délégué: Non-infériorité démontrée avec moins d'effets indésirables liés à la polymédication. La qualité de vie s'améliore significativement.
Médecin: Je vais proposer cette option à mes patients polymédiqués.",2024-03-12,432,moyenne,mixte
CONV_0014,formation_interne,https://example.com/podcast/14,oncologie,RhumatoFlex,Objection preuve,donnees_reelles,argument_real_world,"Délégué: RhumatoFlex représente une avancée dans la polyarthrite rhumatoïde.
Médecin: Vous avez des données en vie réelle ou uniquement des essais contrôlés?
Délégué: Nous disposons maintenant de 3 ans de données registre RHUMATO-REAL couvrant 12000 patients. La rétention à 2 ans est de 78%, supérieure aux anti-TNF de première génération.
Médecin: Qu'en est-il des infections opportunistes?
Délégué: Le taux d'infections graves est de 2.1/100 patients-années, comparable aux standards. Notre programme de dépistage VHB/VHC/VIH est systématique.
Médecin: Ces données me rassurent, je vais l'intégrer à mes options thérapeutiques.",2024-07-23,550,excellente,IA_automatique
CONV_0015,youtube_podcast,https://example.com/podcast/15,cardiologie,NeuroBalance,Objection habitudes,changement_habitude,argument_observance,"Délégué: Notre nouvelle formulation de ProCardio-X permet une prise unique quotidienne.
Médecin: Mes patients sont bien équilibrés avec leur bi-thérapie actuelle, pourquoi changer?
Délégué: La simplification du traitement améliore l'observance de 23%. Moins de prises = moins d'oublis. L'étude ADHERENCE-CARDIO le démontre.
Médecin: L'efficacité est-elle maintenue?
Délégué: Non-infériorité démontrée avec moins d'effets indésirables liés à la polymédication. La qualité de vie s'améliore significativement.
Médecin: Je vais proposer cette option à mes patients polymédiqués.",2024-03-19,822,excellente,mixte
CONV_0016,formation_interne,,rhumatologie,ProCardio-X,Objection spécialité,hors_specialite,argument_parcours_soin,"Délégué: NeuroBalance est indiqué dans la maladie de Parkinson.
Médecin: Ce n'est pas vraiment mon domaine, je préfère laisser le neurologue décider.
Délégué: Bien sûr, mais en médecine générale, vous êtes souvent le premier contact. Reconnaître les signes d'appel permet un diagnostic précoce. Notre guide de dépistage peut vous aider.
Médecin: Quels sont les signes à rechercher?
Délégué: Tremblement de repos, lenteur des mouvements, rigidité. Notre score de dépistage validé permet d'orienter vers le spécialiste au bon moment.
Médecin: Utile effectivement, je vais garder ce document.",2024-08-27,721,bonne,mixte
CONV_0017,youtube_podcast,https://example.com/podcast/17,oncologie,OncoCare,Objection prix,prix,argument_economique,"Délégué: Bonjour Docteur, je voulais vous présenter notre nouveau traitement ProCardio-X pour l'insuffisance cardiaque.
Médecin: Oui, j'ai entendu parler de ce produit, mais le prix me semble prohibitif pour mes patients.
Délégué: Je comprends votre préoccupation. En fait, ProCardio-X réduit les hospitalisations de 35%, ce qui représente une économie nette de 2800€ par patient et par an. L'assurance maladie le rembourse à 100%.
Médecin: C'est intéressant, mais mes patients paient quand même une participation forfaitaire.
Délégé: Exact, mais notre programme d'accompagnement patient prend en charge cette participation. De plus, l'AMM inclut une indication précoce qui peut retarder l'évolution.
Médecin: D'accord, je vais l'essayer sur quelques patients.",2024-10-01,453,moyenne,humain_verifie
CONV_0018,youtube_podcast,,pneumologie,GastroProtect,Objection efficacité,fidelite_concurrence,argument_clinique,"Délégué: Docteur, notre nouvelle molécule DermaShield montre une efficacité supérieure dans le psoriasis modéré à sévère.
Médecin: J'utilise déjà le produit de la concurrence depuis des années, pourquoi changer?
Délégué: L'étude DERMA-3 démontre une réduction de 52% de la surface corporelle atteinte versus 38% pour le produit de référence à 16 semaines. Le DLQI s'améliore significativement.
Médecin: Les données sont solides, mais mes patients sont habitués à leur traitement actuel.
Délégué: Nous proposons un suivi personnalisé et des échantillons pour transition progressive. L'innocuité est comparable avec moins d'effets gastro-intestinaux.
Médecin: Envoyez-moi les données, je les étudierai.",2024-05-14,692,excellente,mixte
CONV_0019,formation_interne,https://example.com/podcast/19,neurologie,OncoCare,Objection efficacité,fidelite_concurrence,argument_clinique,"Délégué: Docteur, notre nouvelle molécule DermaShield montre une efficacité supérieure dans le psoriasis modéré à sévère.
Médecin: J'utilise déjà le produit de la concurrence depuis des années, pourquoi changer?
Délégué: L'étude DERMA-3 démontre une réduction de 52% de la surface corporelle atteinte versus 38% pour le produit de référence à 16 semaines. Le DLQI s'améliore significativement.
Médecin: Les données sont solides, mais mes patients sont habitués à leur traitement actuel.
Délégué: Nous proposons un suivi personnalisé et des échantillons pour transition progressive. L'innocuité est comparable avec moins d'effets gastro-intestinaux.
Médecin: Envoyez-moi les données, je les étudierai.",2024-09-16,803,excellente,IA_automatique
CONV_0020,simulation,https://example.com/podcast/20,neurologie,DermaShield,Objection remboursement,acces_remboursement,argument_acces,"Délégué: OncoCare vient d'obtenir son AMM dans le cancer du poumon non à petites cellules.
Médecin: L'AMM c'est bien, mais sans remboursement, mes patients ne pourront pas y accéder.
Délégué: La commission de transparence a émis un avis favorable. Le remboursement est effectif depuis le 1er du mois. Le tarif forfaitaire est de 2847€ par cycle.
Médecin: Et l'hospitalisation à domicile?
Délégué: Prise en charge possible dans le cadre de l'HAD pour les patients éligibles. Notre service patient gère les démarches administratives.
Médecin: Parfait, je vais pouvoir proposer cette option à mes patients.",2024-09-28,180,moyenne,humain_verifie
