conversation_id,rep_id,client_id,date,month,month_name,product,objection_type,objection_difficulty,response_quality,quality_label,overall_score,context_weighted_score,objection_handling_score,client_sentiment,sentiment_label,outcome,is_success,is_success_broad,skill_level,argumentation_richness,duration_minutes,duration_category,year
CONV00100,REP022,CLI0191,2025-08-20,8,August,OLIGOVIT Trio,Marque inconnue,Difficile,Bon,1,6.5,6.38,5.8,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,6.6,Standard (6-10 min),2025
CONV00364,REP017,CLI0201,2025-08-20,8,August,PHYTOFANE Lotion anti chute,Posologie complexe,Difficile,Bon,1,6.2,6.18,5.8,Positif,1,Demande info,0,1,Confirmé,0,4.45,Courte (3-6 min),2025
CONV00075,REP011,CLI0106,2025-08-21,8,August,Vitonic Tonus,Efficacité douteuse,Standard,Excellent,2,9.5,9.45,9.1,Neutre,0,Intérêt Fort,1,1,Expert,2,6.22,Standard (6-10 min),2025
CONV00136,REP006,CLI0047,2025-08-21,8,August,Vitonic Tonus,Posologie complexe,Difficile,Bon,1,6.8,6.46,5.1,Neutre,0,À rappeler,0,0,Confirmé,0,8.57,Standard (6-10 min),2025
CONV00069,REP014,CLI0116,2025-08-22,8,August,LV Vitamine A,Concurrence,Standard,Bon,1,6.1,6.02,5.6,Neutre,0,À rappeler,0,0,Confirmé,0,7.07,Standard (6-10 min),2025
CONV00349,REP017,CLI0134,2025-08-22,8,August,OLIGOVIT Trio,Stock suffisant,Difficile,Bon,1,6.8,6.68,6.0,Positif,1,Demande info,0,1,Confirmé,0,7.97,Standard (6-10 min),2025
CONV00092,REP019,CLI0222,2025-08-23,8,August,LV Vitamine A,Demande Faible,Standard,Bon,1,6.4,6.38,6.0,Neutre,0,À rappeler,0,0,Confirmé,0,8.63,Standard (6-10 min),2025
CONV00285,REP013,CLI0096,2025-08-23,8,August,PHYTOFANE Lotion anti chute,Concurrence,Standard,Faible,0,4.3,4.42,4.8,Neutre,0,Pas intéressé,0,0,À améliorer,0,7.37,Standard (6-10 min),2025
CONV00193,REP025,CLI0064,2025-08-24,8,August,PHYTOFANE Lotion anti chute,Marque inconnue,Difficile,Bon,1,6.9,6.78,6.1,Neutre,0,À rappeler,0,0,Confirmé,0,8.43,Standard (6-10 min),2025
CONV00322,REP017,CLI0006,2025-08-24,8,August,"Echinacée, Zinc, Vit.C",Demande Faible,Standard,Bon,1,6.4,6.44,6.6,Négatif,-1,Intérêt Modéré,0,1,Confirmé,0,2.07,Très courte (<3 min),2025
