conversation_id,rep_id,client_id,date,month,month_name,product,objection_type,objection_difficulty,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,context_weighted_score,response_quality,quality_label,client_sentiment,sentiment_label,outcome,is_success,is_success_broad,objection_text_len,response_len_chars,response_len_words,response_to_objection_ratio,info_density,has_empathy,has_data_args,has_followup_q,has_solution,is_vague,argumentation_richness,skill_level,nb_skill_tags,tag_argumentation_solide,tag_argumentation_correcte,tag_reponse_scientifique,tag_empathie_client,tag_informations_basiques,tag_reponse_vague,tag_manque_preparation,duration_minutes,duration_category,objection_text,rep_response,conversation_transcript
CONV00075,REP011,CLI0106,2025-08-21,8,August,Vitonic Tonus,Efficacité douteuse,Standard,9.9,9.6,9.1,9.5,9.45,Excellent,2,Neutre,0,Intérêt Fort,1,1,92,315,45,3.39,7.12,0,1,1,0,0,2,Expert,3,1,0,1,1,0,0,0,6.22,Standard (6-10 min),J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?,Excellente question ! Vitonic Tonus a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?
Délégué: Excellente question ! Vitonic Tonus a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?
Client: Je vois... [suite de la conversation]"
CONV00050,REP019,CLI0145,2025-08-29,8,August,"Echinacée, Zinc, Vit.C",Prix élevé,Standard,8.9,9.7,8.4,9.0,8.91,Excellent,2,Positif,1,Intérêt Fort,1,1,84,307,41,3.61,17.67,1,1,0,0,0,2,Expert,3,1,0,1,1,0,0,0,2.22,Très courte (<3 min),Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.","Délégué: Bonjour, je viens vous présenter Echinacée, Zinc, Vit.C. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Je comprends votre préoccupation. Cependant, Echinacée, Zinc, Vit.C contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.
Client: Je vois... [suite de la conversation]"
CONV00381,REP005,CLI0172,2025-08-31,8,August,OLIGOVIT Trio,Effets Secondaires,Standard,9.2,9.8,8.6,9.2,9.11,Excellent,2,Positif,1,Intérêt Fort,1,1,78,372,53,4.71,12.93,0,1,0,0,0,1,Expert,3,1,0,1,1,0,0,0,4.0,Courte (3-6 min),J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?,"OLIGOVIT Trio est un complément alimentaire avec un excellent profil de sécurité. Les études cliniques n'ont montré aucun effet indésirable significatif. Les seules précautions sont les contre-indications classiques pour les femmes enceintes et les allergies aux composants, clairement indiquées sur la notice. Plus de 50 000 patients ont utilisé ce produit sans incident.","Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?
Délégué: OLIGOVIT Trio est un complément alimentaire avec un excellent profil de sécurité. Les études cliniques n'ont montré aucun effet indésirable significatif. Les seules précautions sont les contre-indications classiques pour les femmes enceintes et les allergies aux composants, clairement indiquées sur la notice. Plus de 50 000 patients ont utilisé ce produit sans incident.
Client: Je vois... [suite de la conversation]"
CONV00257,REP023,CLI0034,2025-09-01,9,September,PHYTOFANE Lotion anti chute,Posologie complexe,Difficile,9.9,8.5,9.3,9.2,9.21,Excellent,2,Neutre,0,Intérêt Fort,1,1,75,284,45,3.74,9.64,0,0,1,0,0,1,Expert,3,1,0,1,1,0,0,0,4.57,Courte (3-6 min),La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?","Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?
Client: Je vois... [suite de la conversation]"
CONV00337,REP004,CLI0094,2025-09-01,9,September,Vitonic Tonus,Prix élevé,Standard,9.8,8.5,9.1,9.1,9.09,Excellent,2,Neutre,0,Commande,1,1,84,298,40,3.51,4.52,1,1,0,0,0,2,Expert,3,1,0,1,1,0,0,0,8.75,Standard (6-10 min),Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.,"Je comprends votre préoccupation. Cependant, Vitonic Tonus contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.","Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: Le prix est vraiment élevé par rapport aux autres marques. Mes clients vont hésiter.
Délégué: Je comprends votre préoccupation. Cependant, Vitonic Tonus contient des ingrédients de qualité pharmaceutique avec une concentration optimale. Le rapport qualité-prix est excellent car une boîte dure plus longtemps. De plus, nous proposons une marge attractive de 30% qui compense l'investissement.
Client: Je vois... [suite de la conversation]"
CONV00389,REP002,CLI0011,2025-09-01,9,September,LV CYSPROTECT,Marque inconnue,Difficile,9.9,9.3,8.5,9.2,9.09,Excellent,2,Négatif,-1,Rendez-vous futur,1,1,85,391,59,4.55,12.16,1,0,1,0,1,2,Expert,3,1,0,1,1,0,0,0,4.75,Courte (3-6 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?,"Délégué: Bonjour, je viens vous présenter LV CYSPROTECT. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?
Client: Je vois... [suite de la conversation]"
CONV00056,REP003,CLI0130,2025-09-02,9,September,OLIGOVIT Trio,Posologie complexe,Difficile,8.8,9.0,8.9,8.9,8.91,Excellent,2,Positif,1,Intérêt Fort,1,1,75,284,45,3.74,9.0,0,0,1,0,0,1,Expert,3,1,0,1,1,0,0,0,4.9,Courte (3-6 min),La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,"Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?","Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: Au contraire, nous avons simplifié au maximum : 1 gélule matin et soir pendant les repas. C'est tout ! Nous fournissons un petit dépliant illustré très clair. De plus, chaque boîte contient un pilulier hebdomadaire gratuit pour faciliter l'observance. Voulez-vous que je vous montre ?
Client: Je vois... [suite de la conversation]"
CONV00149,REP002,CLI0193,2025-09-02,9,September,Omevie Omega 3 – 1000,Marque inconnue,Difficile,9.7,8.1,9.3,9.0,9.04,Excellent,2,Neutre,0,Intérêt Fort,1,1,85,391,59,4.55,15.86,1,0,1,0,1,2,Expert,3,1,0,1,1,0,0,0,3.62,Courte (3-6 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?,"Délégué: Bonjour, je viens vous présenter Omevie Omega 3 – 1000. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Je comprends cette réticence. Vital Laboratories existe depuis 15 ans et est leader sur plusieurs segments en Tunisie avec plus de 200 références. Nous sommes certifiés ISO 9001 et nos produits sont fabriqués selon les normes européennes. Nous avons une excellente réputation auprès des médecins. Puis-je vous montrer nos certifications et nos autres produits que vous connaissez peut-être ?
Client: Je vois... [suite de la conversation]"
CONV00017,REP003,CLI0182,2025-09-06,9,September,LV Vitamine A,Stock suffisant,Difficile,9.8,9.7,8.1,9.2,9.0,Excellent,2,Positif,1,Commande,1,1,74,278,45,3.71,17.31,0,0,1,0,0,1,Expert,3,1,0,1,1,0,0,0,2.5,Très courte (<3 min),J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?","Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.
Délégué: Parfait, ça montre que vous avez bien géré votre stock. Puis-je noter votre intérêt pour une livraison dans 2-3 semaines ? En attendant, je peux vous laisser notre nouveau catalogue et des brochures pour vos clients. Avez-vous remarqué une augmentation de la demande récemment ?
Client: Je vois... [suite de la conversation]"
CONV00360,REP007,CLI0054,2025-09-08,9,September,PHYTOFANE Lotion anti chute,Effets Secondaires,Standard,8.7,9.3,10.0,9.3,9.46,Excellent,2,Neutre,0,Rendez-vous futur,1,1,78,386,55,4.89,6.72,0,1,0,0,0,1,Expert,3,1,0,1,1,0,0,0,8.08,Standard (6-10 min),J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?,"PHYTOFANE Lotion anti chute est un complément alimentaire avec un excellent profil de sécurité. Les études cliniques n'ont montré aucun effet indésirable significatif. Les seules précautions sont les contre-indications classiques pour les femmes enceintes et les allergies aux composants, clairement indiquées sur la notice. Plus de 50 000 patients ont utilisé ce produit sans incident.","Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: J'ai entendu que ce produit peut causer des effets indésirables. Est-ce vrai ?
Délégué: PHYTOFANE Lotion anti chute est un complément alimentaire avec un excellent profil de sécurité. Les études cliniques n'ont montré aucun effet indésirable significatif. Les seules précautions sont les contre-indications classiques pour les femmes enceintes et les allergies aux composants, clairement indiquées sur la notice. Plus de 50 000 patients ont utilisé ce produit sans incident.
Client: Je vois... [suite de la conversation]"
