name,url,image_url,categories,indications,forme,infos_produit,classe,forme_normalized,classe_normalized,categories_list,primary_category,category_count,indication_count,is_complete,is_supplement,is_cosmetic,is_medical,is_care_product,is_topical,is_oral,avatar_priority_score
LV Vitamine A,https://vital.com.tn/products/vitamine-a-2/,https://vital.com.tn/wp-content/uploads/2020/09/Vitamine-A.png,"Acné, Peau",- Engelure - Réduit l’apparition des rides - Traite l’acné chez les adolescents et les adultes - Régule la pigmentation - Prévient les dommages cellulaires - Soutient la santé de la peau - Stimule la production de collagène,Créme,Non spécifié,complément alimentaire,Créme,Complément alimentaire,"['Acné', 'Peau']",Acné,2,7,1,1,0,0,0,0,0,8.5
LV Fersang junior,https://vital.com.tn/products/lv-fersang-junior/,https://vital.com.tn/wp-content/uploads/2022/08/Fersang-junior.png,"Anémie, Carence en Fer",- Traitement de l’anémie chez l’enfant à partir de 2 ans - Restitution des réserves en fer - Fortifie le sang sans risque de constipation,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,"['Anémie', 'Carence en Fer']",Anémie,2,3,1,1,0,0,0,0,1,7.0
Hydra eau micellaire,https://vital.com.tn/products/hydra-eau-micellaire/,https://vital.com.tn/wp-content/uploads/2022/07/HYDRA-eau-micellaire-peau-normale.png,Peau,- Nettoyante - Démaquillante - Purifiante - Aide à éliminer les impuretés - Se débarrasse de l’excès de sébum en douceur - Laisse la peau nette et fraîche,Forme non spécifiée,Peau normale,Autre,Forme non spécifiée,Autre,['Peau'],Peau,1,6,0,0,0,0,0,0,0,6.25
Alcool de menthe,https://vital.com.tn/products/alcool-de-menthe-2-2/,https://vital.com.tn/wp-content/uploads/2018/08/AM.jpg,"Troubles de la digestion, Ballonnement et gaz",Garder hors de la portée des enfants,Liquide,Flacon de 37 ml,Produit de soin,Liquide,Produit de soin,"['Troubles de la digestion', 'Ballonnement et gaz']",Troubles de la digestion,2,1,1,0,0,0,1,0,1,4.0
Vitonic Tonus,https://vital.com.tn/products/vitonic-tonus-2-2/,https://vital.com.tn/wp-content/uploads/2017/08/VITONIC-tonus-1.png,Revitalisant,Information non disponible,Gélule,1 boite de 30 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Revitalisant'],Revitalisant,1,0,0,1,0,0,0,0,1,0.25
PHYTOFANE Lotion anti chute,https://vital.com.tn/products/phytofane-lotion-anti-chute-2/,https://vital.com.tn/wp-content/uploads/2023/10/PHYTOFANE-Lotion-anti-chute.jpg,"Anti chute, Cheveux",• Ralentit la chute des cheveux • Stimule la croissance,Lotion,200 ML,Lotion Antichute,Lotion,Lotion Antichute,"['Anti chute', 'Cheveux']",Anti chute,2,1,1,0,0,0,0,1,0,4.0
Huile de Menthe,https://vital.com.tn/products/huile-de-menthe-2/,https://vital.com.tn/wp-content/uploads/2018/08/HUILE-DE-MENTHE-.jpg,"Ballonnement et gaz, Digestion",- Difficulté de digestion - Diminuer les flatulences,Liquide,Flacon de 65 ml,complément alimentaire,Liquide,Complément alimentaire,"['Ballonnement et gaz', 'Digestion']",Ballonnement et gaz,2,2,1,1,0,0,0,0,1,5.5
"LV Sélénium A, C, E Anti-âge",https://vital.com.tn/products/lv-selenium-a-c-e-anti-age/,https://vital.com.tn/wp-content/uploads/2024/12/VITAL-selenium-A-C-E-anti-age.png,"Anti-âge, Peau",• Prévenir le vieillissement cutané • Améliorer l’’éclat et la souplesse de la peau • Réduire les signes visibles de l’’âge par des effets anti-inflammatoires et antioxydants,Gélules,30 Gélules,Complément alimentaire,Gélule,Complément alimentaire,"['Anti-âge', 'Peau']",Anti-âge,2,1,1,1,0,0,0,0,1,4.0
Omevie Omega 3 - 1000,https://vital.com.tn/products/omevie-omega-3-1000/,https://vital.com.tn/wp-content/uploads/2019/06/omega-3-1000.png,"Développement cérébral, Concentration, Immunité",- Contribue au bon développement cérébral - Maintenir une bonne vision - Prévient et réduit l’inflammation secondaire à une infection virale - Concentration,Capsule,Boite de 30 capsules,Complément alimentaire,Capsule,Complément alimentaire,"['Développement cérébral', 'Concentration', 'Immunité']",Développement cérébral,3,4,1,1,0,0,0,0,1,8.75
PédiaKids Gelée royale Pollen Propolis,https://vital.com.tn/products/gelee-royale-2/,https://vital.com.tn/wp-content/uploads/2017/08/Gelee-Royale.png,Immunité,Information non disponible,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,['Immunité'],Immunité,1,0,0,1,0,0,0,0,1,0.25
Pédiakids lait dermo-nettoyant,https://vital.com.tn/products/pediakids-lait-dermo-nettoyant/,https://vital.com.tn/wp-content/uploads/2020/09/Dermo-nettoyant.png,Peau,- Nettoyant - Adoucissant - Nourrissant,Lait,Flacon de 200 ml,Autre,Lait,Autre,['Peau'],Peau,1,3,0,0,0,0,0,0,0,4.75
TC 2000 Nutractiva,https://vital.com.tn/products/tc-2000-nutractiva/,https://vital.com.tn/wp-content/uploads/2017/08/NUTRACTIVA.jpg,Anti-tâches,- Contribue au renouvellement cellulaire - Antiradicalaire - Antioxydant,Gélules,Boite de 60 gélules,Complément alimentaire,Gélule,Complément alimentaire,['Anti-tâches'],Anti-tâches,1,3,1,1,0,0,0,0,1,6.75
OLIGOVIT Trio,https://vital.com.tn/products/oligovit-trio-3/,https://vital.com.tn/wp-content/uploads/2024/07/oligovit-Trio-b15-1.jpg,Immunité,- Contribue au fonctionnement normal du système immunitaire - Contribue à un métabolisme énergétique normal et à réduire la fatigue - Réduit le risque de l’infection et de la pneumonie - Réduit l’inflammation - Diminue le risque de la SDRA,Gélules,15 Gélules,Complément alimentaire,Gélule,Complément alimentaire,['Immunité'],Immunité,1,5,1,1,0,0,0,0,1,8.25
Pédiakids Anti-ballonnement,https://vital.com.tn/products/pediakids-anti-ballonnement/,https://vital.com.tn/wp-content/uploads/2017/08/Anti-ballonement.png,"Ballonnement et gaz, Troubles de la digestion",Information non disponible,Sirop,Flacon de 150 ml,Complément alimentaire,Sirop,Complément alimentaire,"['Ballonnement et gaz', 'Troubles de la digestion']",Ballonnement et gaz,2,0,0,1,0,0,0,0,1,0.5
