conversation_id,rep_id,client_id,date,month,month_name,product,objection_type,objection_difficulty,scientific_accuracy_score,communication_clarity_score,objection_handling_score,overall_score,context_weighted_score,response_quality,quality_label,client_sentiment,sentiment_label,outcome,is_success,is_success_broad,objection_text_len,response_len_chars,response_len_words,response_to_objection_ratio,info_density,has_empathy,has_data_args,has_followup_q,has_solution,is_vague,argumentation_richness,skill_level,nb_skill_tags,tag_argumentation_solide,tag_argumentation_correcte,tag_reponse_scientifique,tag_empathie_client,tag_informations_basiques,tag_reponse_vague,tag_manque_preparation,duration_minutes,duration_category,objection_text,rep_response,conversation_transcript
CONV00100,REP022,CLI0191,2025-08-20,8,August,OLIGOVIT Trio,Marque inconnue,Difficile,7.5,6.3,5.8,6.5,6.38,Bon,1,Négatif,-1,Intérêt Modéré,0,1,85,72,11,0.84,1.64,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,6.6,Standard (6-10 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,"Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]"
CONV00364,REP017,CLI0201,2025-08-20,8,August,PHYTOFANE Lotion anti chute,Posologie complexe,Difficile,6.1,6.8,5.8,6.2,6.18,Bon,1,Positif,1,Demande info,0,1,75,70,14,0.92,3.08,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,4.45,Courte (3-6 min),La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est assez simple en fait : 2 fois par jour. La notice explique bien.,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est assez simple en fait : 2 fois par jour. La notice explique bien.
Client: Je vois... [suite de la conversation]"
CONV00075,REP011,CLI0106,2025-08-21,8,August,Vitonic Tonus,Efficacité douteuse,Standard,9.9,9.6,9.1,9.5,9.45,Excellent,2,Neutre,0,Intérêt Fort,1,1,92,315,45,3.39,7.12,0,1,1,0,0,2,Expert,3,1,0,1,1,0,0,0,6.22,Standard (6-10 min),J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?,Excellente question ! Vitonic Tonus a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: J'ai des doutes sur l'efficacité réelle de ce produit. Avez-vous des preuves scientifiques ?
Délégué: Excellente question ! Vitonic Tonus a fait l'objet de plusieurs études cliniques. Je peux vous montrer les résultats publiés qui démontrent une amélioration de 75% des symptômes après 4 semaines. Nous avons également des témoignages de médecins prescripteurs. Puis-je vous laisser cette documentation scientifique ?
Client: Je vois... [suite de la conversation]"
CONV00136,REP006,CLI0047,2025-08-21,8,August,Vitonic Tonus,Posologie complexe,Difficile,7.8,7.4,5.1,6.8,6.46,Bon,1,Neutre,0,À rappeler,0,0,75,70,14,0.92,1.61,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,8.57,Standard (6-10 min),La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.,C'est assez simple en fait : 2 fois par jour. La notice explique bien.,"Délégué: Bonjour, je viens vous présenter Vitonic Tonus. C'est un excellent produit pour [indication].
Client: La posologie semble compliquée. Mes clients vont avoir du mal à comprendre.
Délégué: C'est assez simple en fait : 2 fois par jour. La notice explique bien.
Client: Je vois... [suite de la conversation]"
CONV00069,REP014,CLI0116,2025-08-22,8,August,LV Vitamine A,Concurrence,Standard,6.1,6.6,5.6,6.1,6.02,Bon,1,Neutre,0,À rappeler,0,0,88,95,14,1.07,1.95,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,7.07,Standard (6-10 min),Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Notre produit a une meilleure formulation et plus d'actifs. La qualité est vraiment supérieure.,"Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Notre produit a une meilleure formulation et plus d'actifs. La qualité est vraiment supérieure.
Client: Je vois... [suite de la conversation]"
CONV00349,REP017,CLI0134,2025-08-22,8,August,OLIGOVIT Trio,Stock suffisant,Difficile,6.9,7.5,6.0,6.8,6.68,Bon,1,Positif,1,Demande info,0,1,74,74,12,0.99,1.49,0,0,0,0,1,0,Confirmé,2,0,1,0,0,1,0,0,7.97,Standard (6-10 min),J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.,"D'accord, je peux repasser le mois prochain. Gardez notre produit en tête.","Délégué: Bonjour, je viens vous présenter OLIGOVIT Trio. C'est un excellent produit pour [indication].
Client: J'ai encore du stock du mois dernier. Je ne peux pas commander maintenant.
Délégué: D'accord, je peux repasser le mois prochain. Gardez notre produit en tête.
Client: Je vois... [suite de la conversation]"
CONV00092,REP019,CLI0222,2025-08-23,8,August,LV Vitamine A,Demande Faible,Standard,6.1,7.2,6.0,6.4,6.38,Bon,1,Neutre,0,À rappeler,0,0,83,75,11,0.89,1.26,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,8.63,Standard (6-10 min),"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.",Nous pouvons vous fournir des supports marketing pour augmenter la demande.,"Délégué: Bonjour, je viens vous présenter LV Vitamine A. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: Nous pouvons vous fournir des supports marketing pour augmenter la demande.
Client: Je vois... [suite de la conversation]"
CONV00285,REP013,CLI0096,2025-08-23,8,August,PHYTOFANE Lotion anti chute,Concurrence,Standard,3.3,4.8,4.8,4.3,4.42,Faible,0,Neutre,0,Pas intéressé,0,0,88,34,6,0.38,0.8,0,0,0,0,0,0,À améliorer,2,0,0,0,0,0,1,1,7.37,Standard (6-10 min),Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.,Notre marque est connue et fiable.,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: Le laboratoire X propose un produit similaire moins cher et mes clients l'achètent déjà.
Délégué: Notre marque est connue et fiable.
Client: Je vois... [suite de la conversation]"
CONV00193,REP025,CLI0064,2025-08-24,8,August,PHYTOFANE Lotion anti chute,Marque inconnue,Difficile,7.6,7.1,6.1,6.9,6.78,Bon,1,Neutre,0,À rappeler,0,0,85,72,11,0.84,1.29,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,8.43,Standard (6-10 min),Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.,Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.,"Délégué: Bonjour, je viens vous présenter PHYTOFANE Lotion anti chute. C'est un excellent produit pour [indication].
Client: Je ne connais pas bien votre laboratoire. Mes clients préfèrent les marques établies.
Délégué: Nous sommes un laboratoire sérieux avec de nombreux produits de qualité.
Client: Je vois... [suite de la conversation]"
CONV00322,REP017,CLI0006,2025-08-24,8,August,"Echinacée, Zinc, Vit.C",Demande Faible,Standard,6.3,6.3,6.6,6.4,6.44,Bon,1,Négatif,-1,Intérêt Modéré,0,1,83,75,11,0.89,5.07,0,0,0,0,0,0,Confirmé,2,0,1,0,0,1,0,0,2.07,Très courte (<3 min),"Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.",Nous pouvons vous fournir des supports marketing pour augmenter la demande.,"Délégué: Bonjour, je viens vous présenter Echinacée, Zinc, Vit.C. C'est un excellent produit pour [indication].
Client: Honnêtement, peu de clients me demandent ce type de produit. Ça va rester en stock.
Délégué: Nous pouvons vous fournir des supports marketing pour augmenter la demande.
Client: Je vois... [suite de la conversation]"
